Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
Major oil spills,Star Enterprise Terminal Leak,"Location: United States, Virginia, Mantua, Owner: Star Enterprise",September 1990,,649,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Apex barges oil spill,"Location: United States, Texas, Houston Ship Channel near Galveston, Owner: Apex Towing Company",1990-07-28,,2200,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Mega Borg oil spill,"Location: United States, Gulf of Mexico, 57 mi (92 km) SE of Galveston, Texas, Owner: NA",1990-06-08,,16500,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,American Trader,"Location: United States, Bolsa Chica State Beach, California, Owner: NA",1990-02-07,,980,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Arthur Kill pipeline,"Location: United States, Sewaren, New Jersey, Owner: NA",1990-01-01,,1840,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Khark 5,"Location: Spain, 350 nmi (650 km; 400 mi) off Las Palmas de Gran Canaria, Owner: NA",1989-12-19,,75000,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Pacificos,"Location: South Africa, East London, Owner: NA",1989-10-04,,10000,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Presidente Rivera,"Location: United States, Delaware River, Marcus Hook, Pennsylvania, Owner: NA",1989-06-24,,993,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,World Prodigy,"Location: United States, Aquidneck Island, Rhode Island, Owner: NA",1989-06-23,,2110,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Exxon Valdez,"Location: United States, Prince William Sound, Alaska, Owner: Exxon Shipping Company",1989-03-24,,70500,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Bahía Paraíso,"Location: Antarctica, Bismarck Strait, Owner: Argentine Navy",1989-01-28,,1200,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Odyssey,"Location: Canada, 700 nmi (1,300 km; 810 mi) off Nova Scotia, Owner: NA",1988-11-10,,132000,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
